X,Y,PURCHASE,FLOORSZ,TYPETRRD,TYPEBNGLW,TYPEFLAT,BLDPWW1,BLDPOSTW,BLD60S,BLD70S,BLD80S,BATH2,BEDS2,GARAGE1,CENTHEAT,UNEMPLOY,PROF,BLDINTW
531200.0,157700.0,215000.000000,100.000000,"0","0","0","0","0","0","0","0","0","1","1","1",3.34616028108,41.12903225810,"1"
530400.0,158300.0,207500.000000,100.000000,"0","0","0","0","0","0","0","0","0","1","1","1",3.34616028108,41.12903225810,"1"
530100.0,158700.0,270000.000000,180.000000,"0","0","0","0","0","0","0","0","0","1","0","1",3.34616028108,41.12903225810,"1"
541300.0,159100.0,176000.000000,125.000000,"0","0","0","0","0","0","1","0","1","1","0","1",2.54754842087,43.79504393330,"0"
541500.0,159100.0,77750.000000,76.000000,"0","0","1","0","0","0","0","1","0","1","0","1",2.54754842087,43.79504393330,"0"
542000.0,159300.0,135000.000000,101.000000,"0","0","0","0","0","1","0","0","0","1","1","1",2.54754842087,43.79504393330,"0"
533200.0,159400.0,157000.000000,77.000000,"0","1","0","0","0","0","0","0","0","1","0","1",3.56676816007,47.86992116430,"1"
533300.0,159700.0,113500.000000,75.000000,"1","0","0","1","0","0","0","0","0","1","0","1",3.56676816007,47.86992116430,"0"
532000.0,159800.0,81750.000000,64.000000,"0","0","1","0","0","0","0","1","0","0","1","0",3.56676816007,47.86992116430,"0"
531200.0,160100.0,190000.000000,131.000000,"0","0","0","0","0","0","0","0","0","1","1","1",3.56676816007,47.86992116430,"1"
531900.0,160100.0,150000.000000,95.000000,"0","0","0","0","0","0","0","0","0","1","0","1",3.56676816007,47.86992116430,"1"
532800.0,160300.0,190000.000000,107.000000,"0","0","0","0","0","0","0","0","0","1","1","1",3.56676816007,47.86992116430,"1"
534700.0,160300.0,82000.000000,63.000000,"0","0","1","0","0","1","0","0","0","1","0","1",2.50514756349,47.89915966390,"0"
530800.0,160800.0,80000.000000,47.000000,"0","0","1","1","0","0","0","0","0","0","1","1",3.56676816007,47.86992116430,"0"
531700.0,160800.0,155950.000000,98.000000,"1","0","0","0","0","0","0","0","0","1","0","1",3.48767288034,49.29941291590,"1"
530800.0,160900.0,84000.000000,67.000000,"0","0","1","0","0","0","0","0","0","1","0","1",3.56676816007,47.86992116430,"1"
529500.0,161000.0,425000.000000,213.000000,"0","0","0","0","0","1","0","0","1","1","1","1",2.84338799458,49.01960784310,"0"
534300.0,161100.0,144995.000000,100.000000,"0","0","0","0","1","0","0","0","0","1","0","1",2.50514756349,47.89915966390,"0"
531300.0,161500.0,124950.000000,94.000000,"1","0","0","1","0","0","0","0","0","1","0","1",3.48767288034,49.29941291590,"0"
531100.0,161700.0,148500.000000,100.000000,"0","0","1","1","0","0","0","0","0","1","1","1",3.48767288034,49.29941291590,"0"
535700.0,161700.0,159950.000000,100.000000,"0","0","0","0","0","0","1","0","0","1","1","1",2.40885416667,47.73715162360,"0"
535600.0,161800.0,149995.000000,81.000000,"0","0","0","0","0","0","1","0","0","1","1","1",2.40885416667,47.73715162360,"0"
533400.0,161900.0,239950.000000,151.000000,"0","0","0","0","0","0","0","0","0","1","1","1",2.50514756349,47.89915966390,"1"
531700.0,162000.0,164000.000000,139.000000,"1","0","0","0","0","0","0","0","1","1","1","1",3.48767288034,49.29941291590,"1"
533100.0,162100.0,104000.000000,57.000000,"0","0","1","0","0","0","0","1","0","1","1","0",2.50514756349,47.89915966390,"0"
535500.0,162200.0,153000.000000,98.000000,"1","0","0","0","0","0","0","0","0","1","0","1",2.40885416667,47.73715162360,"1"
532100.0,162400.0,109000.000000,84.000000,"0","0","1","1","0","0","0","0","0","1","0","1",3.48767288034,49.29941291590,"0"
534200.0,162500.0,249950.000000,260.000000,"0","0","0","0","0","0","1","0","1","1","1","1",2.40885416667,47.73715162360,"0"
534200.0,162500.0,247000.000000,171.000000,"0","0","0","0","0","0","1","0","0","1","1","1",2.40885416667,47.73715162360,"0"
534800.0,162500.0,261000.000000,161.000000,"0","0","0","0","0","0","0","0","1","1","1","1",2.40885416667,47.73715162360,"1"
526700.0,162600.0,339950.000000,168.000000,"0","0","0","0","0","0","0","0","0","1","1","1",3.39805825243,52.16847372810,"1"
531800.0,162600.0,164950.000000,120.000000,"1","0","0","0","0","0","0","0","0","1","0","1",3.48767288034,49.29941291590,"1"
532000.0,162600.0,278000.000000,197.000000,"0","0","0","0","0","0","0","0","1","1","0","1",3.48767288034,49.29941291590,"1"
532100.0,162600.0,147000.000000,98.000000,"0","0","0","0","1","0","0","0","0","1","1","1",3.59136132007,48.14214200100,"0"
532700.0,162600.0,172000.000000,146.000000,"0","0","0","1","0","0","0","0","0","1","1","1",3.48767288034,49.29941291590,"0"
538100.0,162600.0,119950.000000,90.000000,"0","0","0","0","0","0","0","0","0","1","0","1",6.96261682243,18.02533604100,"1"
525800.0,162700.0,81000.000000,67.000000,"0","0","1","0","0","1","0","0","0","1","1","1",3.39805825243,52.16847372810,"0"
525800.0,162700.0,86000.000000,70.000000,"0","0","1","0","0","1","0","0","0","1","1","1",3.39805825243,52.16847372810,"0"
536700.0,162700.0,132000.000000,109.000000,"1","0","0","0","0","0","1","0","0","1","1","1",3.53828306265,40.53970938730,"0"
538000.0,162700.0,127000.000000,98.000000,"0","0","0","0","0","0","0","0","0","1","1","1",6.96261682243,18.02533604100,"1"
530100.0,162800.0,82000.000000,59.000000,"0","0","1","0","0","0","0","1","0","0","0","1",6.13924050633,34.17953667950,"0"
536300.0,162800.0,74950.000000,70.000000,"0","0","0","0","0","0","1","0","0","1","1","1",3.53828306265,40.53970938730,"0"
525800.0,162900.0,103000.000000,91.000000,"0","0","1","0","0","0","1","0","0","1","1","0",3.39805825243,52.16847372810,"0"
532700.0,162900.0,73000.000000,48.000000,"0","0","1","1","0","0","0","0","0","0","0","1",3.48767288034,49.29941291590,"0"
525300.0,163000.0,123500.000000,80.000000,"0","0","1","0","0","0","0","1","0","1","1","1",3.39805825243,52.16847372810,"0"
525400.0,163000.0,103000.000000,50.000000,"0","0","1","0","0","0","0","1","0","0","0","1",3.39805825243,52.16847372810,"0"
525900.0,163000.0,100000.000000,85.000000,"0","0","1","0","0","0","1","0","0","1","1","1",3.26391670004,48.08615240550,"0"
526400.0,163000.0,89950.000000,52.000000,"0","0","1","0","0","0","0","0","0","0","0","1",3.39805825243,52.16847372810,"0"
526200.0,163100.0,95000.000000,69.000000,"0","0","1","0","0","0","1","0","0","1","0","1",3.39805825243,52.16847372810,"0"
526300.0,163100.0,89500.000000,60.000000,"0","0","1","0","0","0","1","0","0","0","0","0",3.39805825243,52.16847372810,"0"
536600.0,163100.0,73000.000000,53.000000,"0","0","1","0","0","0","1","0","0","0","1","1",3.53828306265,40.53970938730,"0"
524300.0,163200.0,105000.000000,77.000000,"0","0","1","0","0","0","0","1","0","1","1","0",2.24554039874,49.08363176740,"0"
524600.0,163200.0,121500.000000,130.000000,"1","0","0","0","0","0","1","0","0","1","1","0",2.24554039874,49.08363176740,"0"
525200.0,163200.0,136000.000000,84.000000,"1","0","0","0","0","0","1","0","0","1","1","1",3.39805825243,52.16847372810,"0"
526500.0,163200.0,270000.000000,155.000000,"1","0","0","0","0","0","0","0","0","1","1","1",3.39805825243,52.16847372810,"0"
526600.0,163200.0,135000.000000,97.000000,"0","0","1","0","0","0","1","0","1","1","1","1",3.26391670004,48.08615240550,"0"
518600.0,163300.0,154000.000000,95.000000,"1","0","0","0","0","0","1","0","0","1","1","1",3.24218750000,38.01348219930,"0"
523900.0,163300.0,156500.000000,96.000000,"1","0","0","0","0","0","1","0","0","1","1","1",2.24554039874,49.08363176740,"0"
525600.0,163300.0,115000.000000,69.000000,"0","0","1","0","0","0","1","0","0","1","0","1",3.26391670004,48.08615240550,"0"
526500.0,163300.0,195000.000000,126.000000,"1","0","0","0","0","0","1","0","0","1","1","1",3.26391670004,48.08615240550,"0"
525500.0,163400.0,124000.000000,90.000000,"0","0","1","0","0","0","0","0","0","1","0","1",3.26391670004,48.08615240550,"1"
